description,avg_infid_PF1,std_infid_PF1,avg_infid_PF2,std_infid_PF2,avg_infid_CPF1,std_infid_CPF1,avg_infid_CPF2,std_infid_CPF2
nqubits=2,0.016752499999999976,0.0008460902729614441,0.010080000000000006,0.00019039432764658842,0.010807499999999998,0.00037432439140404415,0.010384999999999978,0.0004257052971246681
nstepts=10,0.016164999999999985,0.0009106728281880347,0.009449999999999986,0.00020772578077840116,0.010357499999999992,0.00025684382414221187,0.010410000000000003,0.00012020815280173402
"nshots=10^5",0.015859999999999985,0.0007799358948016225,0.00964000000000001,0.0002482941803587219,0.00934500000000002,0.0002659417229394532,0.00941000000000003,0.0002121320343559409
pparam=0.1,0.01623250000000001,0.0008358042533990722,0.009305000000000008,0.0006708390268909575,0.00955250000000002,0.000318698525255424,0.00953000000000001,0.0002050609665441022
"ticks=np.linspace(0.1,1,10)",0.01607,0.0008628731077047043,0.021267499999999995,0.0018638317386502415,0.009317500000000006,0.00015817316460132262,0.009587499999999999,0.00019638928178494617
0,0.016295000000000004,0.00047568371845166537,0.016520000000000007,0.0008213403679352471,0.009160000000000001,0.00030191058278903303,0.009342500000000004,0.00023144923849517635
0,0.015792500000000015,0.0004424011188955212,0.01630000000000001,0.0009704895671773095,0.009722499999999995,0.0004543883251141277,0.009597500000000009,0.00017682972035266143
0,0.016774999999999984,0.0003283671725370913,0.016565000000000024,0.0006245998719180103,0.009107500000000018,0.0001871329741120102,0.009799999999999975,0.00025248762345904174
0,0.0157775,0.0006421983727789891,0.016587500000000005,0.0007263048602343151,0.00935749999999999,0.0001792170471802028,0.009252499999999997,0.0002461071920931729
0,0.016102499999999992,0.0004406458328408417,0.016402500000000014,0.0004953975676161349,0.009232499999999977,0.0004765697745346511,0.009654999999999997,0.00012757350822176477
